name,datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,uvindex,severerisk,sunrise,sunset,conditions,icon
choondacherry,01-04-2002,90.2,79.1,83.6,77.1,0,0,0,,,11.4,290,1013.5,57.1,,,2002-04-01T06:20:38,2002-04-01T18:33:37,Partially cloudy,partly-cloudy-day
choondacherry,02-04-2002,89,78.5,84.4,76.8,0.146,100,8.33,rain,,11.4,295,1012.8,56,,,2002-04-02T06:20:04,2002-04-02T18:33:35,"Rain, Partially cloudy",rain
choondacherry,03-04-2002,89.3,80.7,85,71.3,0.084,100,12.5,rain,,11.4,287,1010.2,40,,,2002-04-03T06:19:31,2002-04-03T18:33:33,"Rain, Partially cloudy",rain
choondacherry,04-04-2002,89.3,80,84.5,73.3,0,0,0,,,12.8,285.3,1009.1,60,,,2002-04-04T06:18:57,2002-04-04T18:33:32,Partially cloudy,partly-cloudy-day
choondacherry,05-04-2002,90.2,78.5,84.4,73.2,0,0,0,,,20.8,274.4,1009.5,38.8,,,2002-04-05T06:18:24,2002-04-05T18:33:30,Partially cloudy,partly-cloudy-day
choondacherry,06-04-2002,90.8,79.4,84.1,71.7,0,0,0,,,11.4,270,1010.2,40,,,2002-04-06T06:17:51,2002-04-06T18:33:29,Partially cloudy,partly-cloudy-day
choondacherry,07-04-2002,90.8,79.1,85,71.8,0,0,0,,,9.2,258.5,1010.2,54.3,,,2002-04-07T06:17:18,2002-04-07T18:33:28,Partially cloudy,partly-cloudy-day
choondacherry,08-04-2002,89,79.1,84.8,75.9,0.591,100,4.17,rain,,13.9,266.1,1010.4,56.7,,,2002-04-08T06:16:45,2002-04-08T18:33:27,"Rain, Partially cloudy",rain
choondacherry,09-04-2002,89.7,77.6,84,78.7,0,0,0,,,11.4,290,1010.2,43.3,,,2002-04-09T06:16:13,2002-04-09T18:33:26,Partially cloudy,partly-cloudy-day
choondacherry,10-04-2002,89.7,79.4,85.7,72.8,0,0,0,,,13.9,289.4,1007.5,40,,,2002-04-10T06:15:41,2002-04-10T18:33:26,Partially cloudy,partly-cloudy-day
choondacherry,11-04-2002,88.4,80.7,83.1,83.4,0,0,0,,,9.2,340,1008.2,48,,,2002-04-11T06:15:09,2002-04-11T18:33:26,Partially cloudy,partly-cloudy-day
choondacherry,12-04-2002,90.2,75.3,82.1,79.6,0.472,100,4.17,rain,,13.9,309,1010,50,,,2002-04-12T06:14:38,2002-04-12T18:33:26,"Rain, Partially cloudy",rain
choondacherry,13-04-2002,89.9,75.8,83,73.7,1.182,100,8.33,rain,,11.4,168.7,1011,51.7,,,2002-04-13T06:14:07,2002-04-13T18:33:26,"Rain, Partially cloudy",rain
